Name,Quantity,avg_daily_dispensed
Metoprolol Tartrate 25mg Tablet,2160,72
Insulin Lispro 100 unit/mL Vial,180,6
Cefdinir 300mg Capsule,450,23
Diltiazem CD 120mg Capsule,1080,36
Eszopiclone 3mg Tablet,440,22
Cetirizine 10mg Tablet,690,23
Diazepam 5mg Tablet,660,22
Spironolactone 25mg Tablet,1050,35
Clonidine 0.1mg Tablet,1230,41
Topiramate 100mg Tablet,960,32
Amoxicillin 500mg Capsule,105,21
Risperidone 2mg Tablet,630,21
Lamotrigine 100mg Tablet,1170,39
Mirtazapine 15mg Tablet,870,29
Hydroxychloroquine 200mg Tablet,510,17
Celecoxib 200mg Capsule,750,25
Diclofenac Sodium 75mg Tablet,840,28
Buspirone 10mg Tablet,930,31
Aripiprazole 10mg Tablet,480,16
Olanzapine 10mg Tablet,540,18
Valacyclovir 500mg Tablet,570,29
Propranolol 40mg Tablet,1320,44
Famotidine 20mg Tablet,1140,38
Triamcinolone 0.1% Cream,270,9
Nortriptyline 25mg Capsule,720,24
Benazepril 10mg Tablet,1050,35
Hydralazine 25mg Tablet,990,33
Latanoprost 0.005% Eye Drops,150,5
Oxybutynin 5mg Tablet,690,23
Fenofibrate 145mg Tablet,960,32
Lovastatin 20mg Tablet,1410,47
Rosuvastatin 10mg Tablet,2190,73
Pravastatin 40mg Tablet,2280,76
Gemfibrozil 600mg Tablet,900,30
Ezetimibe 10mg Tablet,1290,43
Terazosin 2mg Capsule,810,27
Doxazosin 4mg Tablet,870,29
Glyburide 5mg Tablet,960,32
Glimepiride 2mg Tablet,1200,40
Pioglitazone 30mg Tablet,840,28
Sitagliptin 100mg Tablet,600,20
Insulin Aspart 100 unit/mL FlexPen,240,8
Lantus Solostar 100 unit/mL Pen,270,9
Levemir FlexTouch 100 unit/mL Pen,300,10
Humalog KwikPen 100 unit/mL,330,11
Novolog FlexPen 100 unit/mL,360,12
Victoza 3-Pak Pen,180,6
Trulicity 0.75mg Pen,120,4
Ozempic 1mg Pen,90,3
Januvia 100mg Tablet,630,21
Metformin XR 500mg Tablet,2700,90
Lisinopril-HCTZ 20-12.5mg Tablet,1980,66
Losartan-HCTZ 100-25mg Tablet,2100,70
Valsartan 160mg Tablet,1590,53
Irbesartan 300mg Tablet,1110,37
Candesartan 16mg Tablet,810,27
Olmesartan 40mg Tablet,930,31
Telmisartan 80mg Tablet,720,24
Enalapril 10mg Tablet,1560,52
Ramipril 5mg Capsule,1440,48
Quinapril Hydrochloride Tablet,100,10
Labetalol 100mg Tablet,1260,42
Atenolol-Chlorthalidone 100-25mg Tablet,990,33
Bisoprolol 5mg Tablet,900,30
Nebivolol 5mg Tablet,660,22
Clonidine Patch 0.1mg/24hr,300,10
Nitroglycerin SL 0.4mg Tablet,450,15
Isosorbide Mononitrate ER 60mg Tablet,1170,39
Diltiazem ER 240mg Capsule,1350,45
Verapamil ER 180mg Tablet,1230,41
Nifedipine ER 30mg Tablet,1080,36
Amiodarone 200mg Tablet,750,25
Digoxin 0.125mg Tablet,810,27
Flecainide 100mg Tablet,510,17
Sotalol 80mg Tablet,720,24
Dofetilide 500mcg Capsule,210,7
Apixaban 5mg Tablet,900,30
Rivaroxaban 20mg Tablet,930,31
Edoxaban 60mg Tablet,360,12
Dabigatran 150mg Capsule,540,18
Warfarin 2.5mg Tablet,1410,47
Enoxaparin 40mg/0.4mL Syringe,390,13
Fondaparinux 2.5mg/0.5mL Syringe,240,8
Heparin Sodium Injection,120,4
Prasugrel 10mg Tablet,420,14
Ticagrelor 90mg Tablet,600,20
Cilostazol 100mg Tablet,570,19
Pentoxifylline ER 400mg Tablet,780,26
Dipyridamole 75mg Tablet,690,23
Methotrexate 2.5mg Tablet,1020,34
Leflunomide 20mg Tablet,450,15
Sulfasalazine 500mg Tablet,810,27
Adalimumab 40mg/0.8mL Pen,60,2
Etanercept 50mg/mL Syringe,75,3
Infliximab 100mg Vial,30,1
Rituximab 100mg/10mL Vial,20,1
Abatacept 125mg/mL Syringe,45,2
Tocilizumab 162mg/0.9mL Syringe,50,2
Ustekinumab 45mg/0.5mL Syringe,40,1
Secukinumab 150mg/mL Pen,60,2
Ixekizumab 80mg/mL Pen,40,1
Golimumab 50mg/0.5mL Pen,30,1
Certolizumab Pegol 200mg/mL Syringe,40,1
Anakinra 100mg/0.67mL Syringe,35,1
Canakinumab 150mg/mL Vial,15,1
Tofacitinib 5mg Tablet,300,10
Baricitinib 2mg Tablet,150,5
Upadacitinib 15mg Tablet,120,4
Filgotinib 200mg Tablet,90,3
Azathioprine 50mg Tablet,750,25
Mycophenolate Mofetil 500mg Tablet,600,20
Tacrolimus 1mg Capsule,450,15
Cyclosporine 100mg Capsule,300,10
Sirolimus 1mg Tablet,150,5
Everolimus 0.5mg Tablet,90,3
Temazepam 15mg Capsule,630,21
Triazolam 0.125mg Tablet,360,12
Estazolam 1mg Tablet,300,10
Flurazepam Hydrochloride Capsule,100,5
Quazepam 15mg Tablet,120,4
Lorazepam 1mg Tablet,1380,46
Oxazepam Capsule,150,10
Chlordiazepoxide 10mg Capsule,600,20
Clorazepate 7.5mg Tablet,450,15
Prazepam 10mg Tablet,210,7
Halazepam 40mg Tablet,120,4
Midazolam 2mg/mL Syrup,90,3
Zaleplon 10mg Capsule,390,13
Ramelteon 8mg Tablet,240,8
Suvorexant 10mg Tablet,150,5
Lemborexant 5mg Tablet,120,4
Doxepin 10mg Capsule,780,26
Hydroxyzine 25mg Tablet,1110,37
Meclizine 25mg Tablet,840,28
Dimenhydrinate 50mg Tablet,900,30
Scopolamine 1.5mg Patch,210,7
Ondansetron ODT 4mg,960,32
Granisetron 1mg Tablet,360,12
Dolasetron 100mg Tablet,180,6
Palonosetron 0.25mg IV,60,2
Aprepitant 125mg Capsule,90,3
Fosaprepitant 150mg IV,45,2
Netupitant-Palonosetron 300-0.5mg Capsule,50,2
Rolapitant 180mg Tablet,40,1
Prochlorperazine 10mg Tablet,870,29
Chlorpromazine 25mg Tablet,630,21
Haloperidol 5mg Tablet,720,24
Thioridazine 100mg Tablet,300,10
Perphenazine 4mg Tablet,510,17
Fluphenazine 5mg Tablet,450,15
Trifluoperazine 5mg Tablet,390,13
Loxapine 10mg Capsule,360,12
Molindone 25mg Tablet,210,7
Pimozide 2mg Tablet,120,4
Thiothixene 5mg Capsule,300,10
Ziprasidone 40mg Capsule,690,23
Iloperidone 6mg Tablet,240,8
Paliperidone ER 3mg Tablet,390,13
Asenapine 5mg SL Tablet,180,6
Lurasidone 40mg Tablet,420,14
Cariprazine 1.5mg Capsule,150,5
Brexpiprazole 1mg Tablet,120,4
Clozapine 100mg Tablet,360,12
Lithium Carbonate 300mg Capsule,1200,40
Valproic Acid 250mg Capsule,990,33
Carbamazepine 200mg Tablet,1050,35
Oxcarbazepine 300mg Tablet,1140,38
Phenytoin 100mg Capsule,930,31
Fosphenytoin 100mg PE/mL IV,150,5
Phenobarbital 30mg Tablet,750,25
Primidone 250mg Tablet,600,20
Ethosuximide 250mg/5mL Syrup,240,8
Felbamate 600mg Tablet,180,6
Gabapentin 600mg Tablet,3300,110
Pregabalin 75mg Capsule,1680,56
Levetiracetam 500mg Tablet,2100,70
Brivaracetam 50mg Tablet,360,12
Zonisamide 100mg Capsule,810,27
Tiagabine 4mg Tablet,300,10
Vigabatrin 500mg Tablet,210,7
Lacosamide 100mg Tablet,660,22
Rufinamide 400mg Tablet,390,13
Clobazam 10mg Tablet,420,14
Stiripentol 250mg Capsule,90,3
Cannabidiol 100mg/mL Oral Solution,60,2
Donepezil 10mg Tablet,900,30
Rivastigmine 4.6mg/24hr Patch,270,9
Galantamine ER 16mg Capsule,360,12
Memantine 10mg Tablet,840,28
Riluzole Oral Suspension,45,3
Tetrabenazine 25mg Tablet,180,6
Deutetrabenazine 12mg Tablet,120,4
Valbenazine 40mg Capsule,90,3
Sumatriptan 100mg Tablet,750,25
Rizatriptan 10mg Tablet,720,24
Naratriptan 2.5mg Tablet,300,10
Zolmitriptan 5mg Tablet,450,15
Almotriptan 12.5mg Tablet,210,7
Frovatriptan 2.5mg Tablet,180,6
Eletriptan 40mg Tablet,360,12
Lasmiditan 100mg Tablet,90,3
Ubrogepant 50mg Tablet,120,4
Rimegepant 75mg ODT,150,5
Erenumab 70mg/mL Syringe,60,2
Fremanezumab 225mg/1.5mL Syringe,45,2
Galcanezumab 120mg/mL Pen,50,2
Eptinezumab 100mg/mL IV,20,1
Butalbital-APAP-Caffeine 50-325-40mg,900,30
Dihydroergotamine 4mg/mL Nasal Spray,120,4
Ergotamine-Caffeine 1-100mg Tablet,300,10
Methysergide 2mg Tablet,90,3
Indomethacin 50mg Capsule,810,27
Naproxen Sodium 550mg Tablet,1080,36
Ketoprofen 75mg Capsule,720,24
Flurbiprofen 100mg Tablet,510,17
Oxaprozin 600mg Tablet,390,13
Piroxicam 20mg Capsule,420,14
Nabumetone 500mg Tablet,870,29
Etodolac 400mg Tablet,960,32
Tolmetin 400mg Tablet,450,15
Salsalate 750mg Tablet,600,20
Choline Magnesium Trisalicylate 500mg,390,13
Diflunisal 500mg Tablet,360,12
Baclofen 10mg Tablet,1050,35
Carisoprodol 350mg Tablet,810,27
Metaxalone 800mg Tablet,630,21
Methocarbamol 750mg Tablet,1140,38
Orphenadrine ER 100mg Tablet,540,18
Tizanidine 4mg Tablet,1290,43
Dantrolene 25mg Capsule,240,8
Alendronate 70mg Tablet,750,25
Risedronate 35mg Tablet,450,15
Ibandronate 150mg Tablet,300,10
Zoledronic Acid 5mg/100mL IV,60,2
Denosumab 60mg/mL Syringe,90,3
Raloxifene 60mg Tablet,690,23
Teriparatide 600mcg/2.4mL Pen,120,4
Abaloparatide 3120mcg/1.56mL Pen,90,3
Romosozumab 105mg/1.17mL Syringe,75,3
Calcitonin-Salmon 200 IU/spray,150,5
Colchicine 0.6mg Tablet,840,28
Febuxostat 40mg Tablet,420,14
Probenecid 500mg Tablet,600,20
Pegloticase 8mg/mL IV,30,1
Hydroxyurea 500mg Capsule,390,13
Anagrelide 0.5mg Capsule,210,7
Imatinib 400mg Tablet,120,4
Dasatinib 100mg Tablet,90,3
Nilotinib 200mg Capsule,60,2
Bosutinib 500mg Tablet,45,2
Ponatinib 45mg Tablet,30,1
Ruxolitinib 10mg Tablet,150,5
Fedratinib 100mg Capsule,90,3
Pacritinib 100mg Capsule,60,2
Cisplatin 50mg/50mL IV,40,1
Oxaliplatin 100mg/20mL IV,30,1
Irinotecan 100mg/5mL IV,25,1
Topotecan 4mg/4mL IV,20,1
Etoposide 100mg/5mL IV,35,1
Vinblastine 10mg/10mL IV,15,1
Vincristine 2mg/2mL IV,10,1
Vinorelbine 50mg/5mL IV,20,1
Docetaxel 80mg/4mL IV,25,1
Paclitaxel 100mg/16.7mL IV,30,1
Cabazitaxel 60mg/1.5mL IV,15,1
Ixabepilone 45mg Vial,10,1
Eribulin 1mg/2mL Vial,15,1
Doxorubicin 50mg/25mL IV,25,1
Daunorubicin 20mg/4mL IV,15,1
Idarubicin 10mg/10mL IV,10,1
Epirubicin 50mg/25mL IV,20,1
Mitoxantrone 20mg/10mL IV,15,1
Bleomycin 15 units/Vial,20,1
Dactinomycin 0.5mg/Vial,10,1
Mitomycin 20mg/Vial,15,1
Gemcitabine 1g/Vial,40,1
Capecitabine 500mg Tablet,600,20
Fluorouracil 5g/100mL IV,50,2
Cytarabine 1g/10mL IV,40,1
Fludarabine 50mg/2mL IV,25,1
Cladribine 10mg/10mL IV,15,1
Nelarabine 250mg/50mL IV,10,1
Pentostatin 10mg/Vial,5,1
Pemetrexed 500mg/Vial,30,1
Methotrexate Sodium Injection,100,5
Cyclophosphamide 500mg/Vial,45,2
Ifosfamide 1g/Vial,30,1
Carmustine 100mg/Vial,15,1
Lomustine 100mg Capsule,20,1
Busulfan 2mg Tablet,120,4
Melphalan 50mg/Vial,20,1
Chlorambucil 2mg Tablet,90,3
Thiotepa 15mg/Vial,10,1
Dacarbazine 200mg/Vial,15,1
Temozolomide 100mg Capsule,150,5
Procarbazine 50mg Capsule,90,3
Altretamine 50mg Capsule,60,2
Bendamustine 100mg/Vial,25,1
Bortezomib 3.5mg/Vial,20,1
Carfilzomib 60mg/Vial,15,1
Ixazomib 4mg Capsule,10,1
Thalidomide 100mg Capsule,120,4
Lenalidomide 10mg Capsule,150,5
Pomalidomide 4mg Capsule,90,3
Interferon alfa-2a 3 MIU/Vial,45,2
Peginterferon alfa-2a Injection,20,1
Aldesleukin 22 MIU/Vial,10,1
Oprelvekin 5mg/Vial,15,1
Sargramostim 250mcg/Vial,30,1
Filgrastim 300mcg/mL Syringe,60,2
Pegfilgrastim 6mg/0.6mL Syringe,75,3
Erythropoietin 10000 units/mL Vial,90,3
Darbepoetin alfa 100mcg/mL Syringe,120,4
Romiplostim 250mcg/Vial,45,2
Eltrombopag 50mg Tablet,150,5
Avatrombopag 20mg Tablet,90,3
Luspatercept 25mg/Vial,60,2
Trastuzumab 150mg/Vial,40,1
Pertuzumab 420mg/14mL Vial,25,1
Ado-trastuzumab emtansine 100mg/Vial,20,1
Lapatinib 250mg Tablet,300,10
Neratinib 40mg Tablet,180,6
Tucatinib 150mg Tablet,120,4
Cetuximab 100mg/50mL IV,30,1
Panitumumab 100mg/5mL IV,20,1
Necitumumab 800mg/50mL IV,10,1
Bevacizumab 100mg/4mL IV,40,1
Ramucirumab 100mg/10mL IV,25,1
Ziv-aflibercept 100mg/4mL IV,20,1
Ipilimumab 50mg/10mL IV,15,1
Nivolumab 100mg/10mL IV,30,1
Pembrolizumab 100mg/4mL IV,40,1
Atezolizumab 1200mg/20mL IV,25,1
Avelumab 200mg/10mL IV,20,1
Durvalumab 500mg/10mL IV,25,1
Cemiplimab 350mg/7mL IV,15,1
Vemurafenib 240mg Tablet,240,8
Dabrafenib 75mg Capsule,180,6
Trametinib 2mg Tablet,120,4
Cobimetinib 20mg Tablet,90,3
Binimetinib 15mg Tablet,60,2
Encorafenib 75mg Capsule,120,4
Crizotinib 250mg Capsule,150,5
Ceritinib 150mg Tablet,90,3
Alectinib 150mg Capsule,120,4
Brigatinib 90mg Tablet,90,3
Lorlatinib 100mg Tablet,60,2
Erlotinib 150mg Tablet,210,7
Gefitinib 250mg Tablet,180,6
Afatinib 40mg Tablet,120,4
Osimertinib 80mg Tablet,150,5
Dacomitinib 45mg Tablet,90,3
Sunitinib 50mg Capsule,180,6
Sorafenib 200mg Tablet,240,8
Pazopanib 400mg Tablet,150,5
Axitinib 5mg Tablet,120,4
Cabozantinib 60mg Tablet,90,3
Lenvatinib 10mg Capsule,120,4
Regorafenib 40mg Tablet,90,3
Vandetanib 300mg Tablet,60,2
Tivozanib 1.34mg Capsule,45,2
Everolimus 10mg Tablet,120,4
Temsirolimus 25mg/mL IV,30,1
Palbociclib 125mg Capsule,150,5
Ribociclib 200mg Tablet,120,4
Abemaciclib 150mg Tablet,90,3
Alpelisib 200mg Tablet,60,2
Copanlisib 60mg/Vial,30,1
Duvelisib 25mg Capsule,90,3
Idelalisib 150mg Tablet,120,4
Umbralisib 200mg Tablet,60,2
Olaparib 150mg Tablet,150,5
Rucaparib 300mg Tablet,90,3
Niraparib 100mg Capsule,120,4
Talazoparib 1mg Capsule,60,2
Ibrutinib 140mg Capsule,180,6
Acalabrutinib 100mg Capsule,150,5
Zanubrutinib 80mg Capsule,120,4
Venetoclax 100mg Tablet,120,4
Glasdegib 100mg Tablet,60,2
Sonidegib 200mg Capsule,90,3
Vismodegib 150mg Capsule,120,4
Enzalutamide 40mg Capsule,150,5
Abiraterone 250mg Tablet,300,10
Apalutamide 60mg Tablet,120,4
Darolutamide 300mg Tablet,90,3
Mifepristone 200mg Tablet,60,2
Leuprolide 7.5mg/month Depot,45,2
Goserelin 3.6mg implant,30,1
Histrelin 50mg implant,15,1
Triptorelin 3.75mg/month Depot,25,1
Degarelix 80mg/Vial,20,1
Bicalutamide 50mg Tablet,450,15
Flutamide 250mg Capsule,300,10
Nilutamide 150mg Tablet,150,5
Tamoxifen 20mg Tablet,900,30
Toremifene 60mg Tablet,180,6
Fulvestrant 250mg/5mL Syringe,60,2
Anastrozole 1mg Tablet,1200,40
Letrozole 2.5mg Tablet,1110,37
Exemestane 25mg Tablet,750,25
Megestrol 40mg Tablet,600,20
Medroxyprogesterone 10mg Tablet,900,30
Somatropin Injection,10,2
Ketorolac Tromethamine Injection,100,5
Nitroglycerin Injection,80,8
